container_number,cont_type,pickup,dropoff,vessel,source
TCNU2473728,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8120555,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
BEAU6409190,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TRHU6951270,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TIIU4814946,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
BHCU5040864,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TIIU5600893,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8231250,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8240252,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8097877,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8203109,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8229628,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8181988,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
FFAU1001468,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8128704,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TRHU6738290,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8049400,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8119507,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8225290,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
TWCU8262879,E40,HAIPHONG,HKG,GLORY SHANGHAI 2612N,2.GLORY SHANGHAI- 2612N.xlsx
